Soil_Type,Crop_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Level,Rainfall,Temperature,Recommended_Fertilizer
Clay,Cotton,8.0,119,56,36,16.4,98,29.2,10-26-26
Peaty,Wheat,7.8,104,36,38,23.9,169,27.0,10-26-26
Clay,Wheat,5.5,87,38,40,12.3,192,33.3,Urea
Peaty,Barley,8.1,78,59,71,25.8,215,23.8,Urea
Clay,Barley,5.9,110,39,72,28.1,106,33.3,Urea
Sandy,Maize,8.0,54,26,77,29.5,221,28.9,10-26-26
Sandy,Maize,4.8,76,58,43,14.0,167,33.3,Compost
Sandy,Barley,6.9,73,52,61,10.2,144,19.7,Urea
Clay,Rice,7.2,94,37,32,10.1,80,20.7,10-26-26
Loamy,Soybean,6.7,56,60,46,27.3,121,29.1,10-26-26
Chalky,Cotton,5.4,110,47,65,27.8,82,22.0,Compost
Clay,Rice,5.8,59,54,32,28.7,174,29.0,10-26-26
Peaty,Sugarcane,7.9,58,47,38,26.4,90,27.7,10-26-26
Loamy,Maize,4.9,45,42,43,19.2,143,22.5,10-26-26
Chalky,Rice,5.5,85,55,56,34.3,238,24.7,NPK
Chalky,Wheat,8.1,70,30,41,25.8,185,31.5,Urea
Sandy,Barley,6.5,82,46,72,24.4,143,26.4,Urea
Loamy,Wheat,5.3,53,44,32,28.1,200,22.8,10-26-26
Sandy,Wheat,4.6,98,42,49,26.1,138,21.0,Compost
Sandy,Rice,8.3,64,45,51,33.8,151,33.6,Urea
Loamy,Maize,6.0,105,45,73,10.4,217,33.8,DAP
Loamy,Rice,6.2,54,36,41,34.2,228,34.4,10-26-26
Loamy,Rice,7.9,53,58,57,17.4,168,24.5,10-26-26
Chalky,Soybean,7.9,80,47,68,17.9,210,20.9,Urea
Silty,Sugarcane,6.7,64,36,32,33.4,191,29.8,10-26-26
Clay,Sugarcane,6.8,108,32,53,12.4,190,28.5,NPK
Clay,Barley,8.5,82,59,50,13.5,249,26.8,Urea
Clay,Barley,8.0,78,52,49,28.5,250,29.8,Urea
Silty,Maize,7.3,91,38,65,19.0,112,23.0,DAP
Silty,Barley,7.7,88,31,69,30.3,225,32.7,Urea
Loamy,Cotton,8.2,110,20,49,22.8,153,26.5,10-26-26
Sandy,Cotton,7.7,114,58,71,26.2,162,29.9,DAP
Silty,Cotton,7.7,96,33,62,32.3,201,23.7,NPK
Sandy,Barley,6.0,50,38,62,12.3,249,27.8,10-26-26
Chalky,Sugarcane,4.6,82,25,78,21.6,140,27.2,10-26-26
Chalky,Maize,5.6,68,32,39,24.8,86,18.5,10-26-26
Clay,Wheat,4.6,100,59,79,30.6,98,24.1,Compost
Silty,Cotton,5.0,120,56,42,23.1,178,31.1,Compost
Silty,Cotton,5.4,71,29,71,25.6,81,19.5,10-26-26
Clay,Soybean,4.7,94,34,41,23.3,212,27.2,Compost
Silty,Rice,7.0,111,35,37,28.2,196,34.6,10-26-26
Sandy,Soybean,6.6,99,53,65,18.1,232,31.5,10-26-26
Silty,Sugarcane,5.6,104,47,65,21.0,194,19.3,NPK
Sandy,Barley,4.6,100,48,46,34.1,143,32.2,Compost
Chalky,Maize,7.3,106,51,70,20.2,141,20.9,DAP
Loamy,Cotton,5.1,49,38,45,16.3,149,27.3,10-26-26
Loamy,Maize,7.4,109,25,38,26.5,118,22.8,10-26-26
Sandy,Cotton,8.3,59,33,34,28.4,186,27.4,10-26-26
Silty,Maize,6.9,109,49,56,20.5,95,22.2,DAP
Sandy,Soybean,5.9,93,44,79,28.9,229,18.2,NPK
Clay,Soybean,5.0,113,44,60,11.2,81,18.7,Compost
Loamy,Maize,7.9,89,46,64,27.6,219,26.1,DAP
Peaty,Wheat,4.9,102,34,47,22.3,191,26.0,Compost
Silty,Rice,5.2,89,41,72,20.8,183,24.8,Compost
Chalky,Wheat,7.0,99,28,69,25.9,216,18.8,10-26-26
Clay,Cotton,6.0,115,56,72,25.6,86,26.6,DAP
Clay,Barley,7.9,94,28,59,26.5,126,20.8,10-26-26
Clay,Maize,4.8,88,40,43,26.1,196,18.5,Compost
Loamy,Maize,6.8,88,37,78,33.5,187,27.8,10-26-26
Clay,Cotton,6.1,42,54,33,26.1,169,25.8,10-26-26
Sandy,Barley,6.7,48,22,78,33.5,87,24.6,10-26-26
Sandy,Wheat,8.3,42,59,39,32.6,141,21.3,10-26-26
Sandy,Cotton,4.8,54,56,43,12.5,199,18.3,10-26-26
Chalky,Maize,4.9,87,30,68,27.1,235,19.2,Compost
Chalky,Barley,5.8,54,30,49,31.1,107,18.4,10-26-26
Peaty,Rice,7.8,79,56,73,17.0,176,20.0,Compost
Chalky,Wheat,7.3,49,57,74,25.7,240,32.9,10-26-26
Sandy,Rice,7.4,78,58,37,30.1,224,22.8,10-26-26
Clay,Maize,5.2,108,47,72,28.8,174,31.7,Compost
Clay,Sugarcane,8.5,83,20,56,20.3,205,24.3,10-26-26
Clay,Cotton,7.6,86,60,59,18.5,119,33.8,DAP
Silty,Wheat,7.9,106,37,69,20.7,217,30.8,Urea
Silty,Cotton,7.5,95,57,47,12.6,162,33.3,DAP
Sandy,Soybean,6.5,51,37,58,30.7,142,23.4,10-26-26
Silty,Sugarcane,8.1,118,44,51,19.7,87,18.2,NPK
Silty,Soybean,8.1,81,31,61,12.3,134,23.4,10-26-26
Loamy,Maize,8.3,75,58,74,33.8,150,27.7,DAP
Peaty,Rice,7.0,106,32,35,21.2,141,23.0,10-26-26
Chalky,Cotton,5.8,102,55,78,26.8,141,30.8,DAP
Chalky,Cotton,7.7,102,48,80,29.7,84,19.6,DAP
Clay,Maize,6.5,68,45,74,11.4,142,27.3,DAP
Loamy,Barley,6.3,114,43,60,32.2,221,24.0,Urea
Peaty,Maize,5.0,94,55,51,13.6,170,30.9,Compost
Chalky,Cotton,7.0,74,39,46,12.5,139,19.4,Urea
Chalky,Wheat,7.3,80,27,77,11.8,217,32.0,10-26-26
Chalky,Wheat,7.3,64,33,77,12.0,203,19.4,10-26-26
Chalky,Sugarcane,8.4,107,58,48,19.4,105,24.3,NPK
Sandy,Maize,7.8,69,43,41,33.7,157,34.8,DAP
Clay,Barley,7.5,108,28,47,19.4,91,19.4,10-26-26
Clay,Sugarcane,7.6,77,28,70,24.0,205,25.2,10-26-26
Clay,Soybean,8.1,41,56,48,12.8,200,26.4,10-26-26
Silty,Cotton,4.5,83,31,33,21.7,144,19.0,10-26-26
Silty,Rice,5.0,48,45,61,12.9,98,29.0,10-26-26
Peaty,Barley,7.5,46,29,39,24.6,224,34.4,10-26-26
Loamy,Rice,6.0,71,27,65,17.1,186,32.8,10-26-26
Peaty,Sugarcane,5.4,119,34,79,34.1,213,18.2,Compost
Silty,Cotton,8.4,96,39,67,11.1,189,33.1,10-26-26
Peaty,Sugarcane,6.6,47,59,77,34.8,105,19.3,10-26-26
Sandy,Barley,6.7,67,36,72,34.2,100,26.9,DAP
Sandy,Wheat,7.0,110,24,40,27.4,80,25.7,10-26-26
Silty,Cotton,7.0,116,50,48,24.6,88,33.3,DAP
Sandy,Maize,4.7,76,49,34,17.0,139,34.2,10-26-26
Loamy,Soybean,8.1,120,57,72,21.4,130,28.5,Compost
Clay,Sugarcane,5.6,68,29,47,14.7,116,25.9,10-26-26
Clay,Rice,5.9,61,39,68,24.6,225,19.3,10-26-26
Silty,Rice,8.4,99,39,74,34.7,183,29.9,NPK
Loamy,Sugarcane,6.6,109,51,58,17.7,100,31.8,NPK
Peaty,Rice,7.2,95,40,68,14.1,144,33.5,NPK
Clay,Rice,7.8,69,56,67,33.7,85,30.3,NPK
Loamy,Sugarcane,7.0,45,31,60,20.5,212,33.9,10-26-26
Chalky,Cotton,8.0,75,31,67,11.1,191,18.4,NPK
Silty,Rice,6.0,100,42,56,30.3,165,34.8,NPK
Loamy,Barley,5.1,53,30,51,24.9,185,24.5,10-26-26
Chalky,Cotton,8.4,76,45,78,31.1,220,32.3,DAP
Clay,Cotton,6.4,51,40,46,20.4,162,22.6,10-26-26
Clay,Soybean,4.7,91,52,30,31.6,248,31.8,10-26-26
Peaty,Cotton,8.5,92,23,42,34.9,212,27.4,10-26-26
Loamy,Sugarcane,7.6,103,60,58,33.6,93,32.4,NPK
Sandy,Maize,5.5,110,28,48,21.3,192,20.2,10-26-26
Chalky,Cotton,8.3,55,21,70,25.2,235,21.9,10-26-26
Sandy,Barley,7.2,60,39,65,25.5,83,24.1,Vermicompost
Silty,Rice,5.0,68,27,59,26.8,110,26.8,10-26-26
Chalky,Soybean,7.6,59,51,75,23.0,154,32.5,10-26-26
Peaty,Barley,6.7,74,46,60,24.0,200,32.9,Urea
Sandy,Cotton,6.1,110,29,54,13.4,128,18.5,10-26-26
Peaty,Sugarcane,7.5,57,24,47,25.5,186,30.0,10-26-26
Loamy,Soybean,5.4,104,37,30,13.4,152,18.2,10-26-26
Chalky,Maize,5.9,115,57,72,24.7,205,24.7,DAP
Sandy,Cotton,6.2,108,50,52,32.6,165,23.9,DAP
Peaty,Soybean,6.6,109,44,59,29.6,162,24.7,DAP
Chalky,Wheat,7.0,113,44,44,31.6,185,34.1,Urea
Clay,Maize,5.1,100,44,54,33.2,249,26.4,Compost
Chalky,Wheat,5.5,103,22,38,21.5,208,34.7,10-26-26
Peaty,Maize,6.5,52,48,36,18.2,214,28.8,10-26-26
Silty,Rice,5.5,58,46,71,11.9,119,20.2,10-26-26
Clay,Cotton,5.0,73,41,69,13.8,181,20.4,Compost
Chalky,Rice,7.1,82,54,54,14.5,161,23.9,NPK
Chalky,Barley,8.1,102,54,32,21.8,238,29.3,10-26-26
Clay,Wheat,5.2,120,38,44,14.8,103,18.7,Compost
Silty,Rice,5.2,52,48,40,17.0,156,21.0,10-26-26
Clay,Rice,4.9,81,23,48,13.0,171,25.8,10-26-26
Loamy,Cotton,5.3,58,35,63,19.1,185,26.6,10-26-26
Peaty,Barley,7.3,63,30,41,11.0,100,31.6,Vermicompost
Silty,Sugarcane,7.0,70,51,67,12.0,116,32.9,DAP
Silty,Barley,8.2,72,49,46,11.5,250,22.7,Urea
Clay,Soybean,7.7,99,38,73,28.7,219,21.1,DAP
Clay,Cotton,5.3,84,57,49,19.3,243,26.2,Compost
Silty,Barley,7.0,72,49,49,19.2,130,25.9,Urea
Silty,Soybean,7.5,101,26,45,10.9,177,22.3,10-26-26
Peaty,Maize,7.4,113,38,74,32.4,155,26.7,Urea
Chalky,Cotton,6.6,75,20,66,12.7,92,25.6,10-26-26
Peaty,Barley,6.6,103,38,79,16.1,138,22.6,Urea
Peaty,Soybean,6.0,85,34,70,10.5,128,23.5,Vermicompost
Loamy,Barley,5.3,57,60,36,18.2,240,20.0,10-26-26
Chalky,Rice,8.1,79,48,32,24.8,228,29.5,10-26-26
Loamy,Barley,7.7,56,25,48,22.5,163,19.5,10-26-26
Chalky,Cotton,6.6,62,32,38,24.7,218,30.7,10-26-26
Loamy,Sugarcane,6.2,104,37,40,13.2,145,22.8,NPK
Silty,Soybean,6.0,77,41,37,26.1,199,27.7,10-26-26
Clay,Wheat,5.9,68,45,65,34.7,173,28.3,Urea
Silty,Rice,5.4,73,54,37,12.5,196,20.6,10-26-26
Loamy,Barley,5.5,73,57,54,14.0,243,21.2,Urea
Loamy,Rice,5.6,69,50,31,14.3,238,33.2,10-26-26
Peaty,Maize,4.8,118,34,71,23.1,96,25.0,Compost
Chalky,Soybean,8.4,99,39,71,12.8,184,24.8,Urea
Sandy,Rice,8.4,44,39,61,31.6,109,31.9,10-26-26
Clay,Wheat,5.5,108,28,54,14.3,196,29.4,10-26-26
Loamy,Barley,8.2,109,46,67,23.9,119,27.7,Urea
Silty,Barley,5.6,52,51,69,29.2,184,21.2,10-26-26
Loamy,Rice,5.8,87,33,58,20.6,193,26.6,NPK
Sandy,Soybean,5.5,86,26,73,12.9,174,28.4,10-26-26
Peaty,Barley,5.7,85,23,55,24.5,150,20.6,10-26-26
Sandy,Rice,6.4,98,25,72,23.3,134,18.9,10-26-26
Chalky,Barley,5.8,116,21,33,13.4,165,19.1,10-26-26
Sandy,Wheat,8.5,112,33,34,18.1,221,31.8,10-26-26
Sandy,Sugarcane,5.5,67,34,51,27.0,117,30.9,Vermicompost
Clay,Maize,6.9,58,28,64,21.8,144,25.0,10-26-26
Sandy,Rice,5.9,43,28,30,33.2,171,32.1,10-26-26
Sandy,Sugarcane,8.4,81,21,41,13.1,147,30.4,10-26-26
Clay,Wheat,8.3,93,53,37,14.5,96,19.1,10-26-26
Silty,Cotton,7.5,86,52,67,24.4,107,32.3,DAP
Silty,Sugarcane,5.1,68,59,32,29.9,248,21.4,10-26-26
Peaty,Maize,5.2,98,21,33,14.1,202,31.8,10-26-26
Silty,Cotton,7.2,53,51,75,23.1,193,24.1,10-26-26
Clay,Rice,8.0,81,58,39,19.8,96,31.9,10-26-26
Sandy,Maize,6.3,119,60,67,19.4,220,25.9,DAP
Chalky,Maize,5.7,88,58,63,28.7,155,26.5,DAP
Silty,Sugarcane,5.4,117,47,36,32.5,109,24.5,10-26-26
Chalky,Barley,6.7,110,33,57,32.7,195,28.6,Urea
Sandy,Cotton,5.0,83,49,55,33.5,186,28.7,Compost
Chalky,Rice,5.8,80,47,50,13.5,250,31.5,10-26-26
Loamy,Wheat,7.0,100,24,35,23.3,101,33.2,10-26-26
Clay,Cotton,7.7,52,43,38,13.8,222,23.3,10-26-26
Clay,Sugarcane,5.5,111,55,51,28.6,111,18.6,NPK
Silty,Maize,6.8,94,23,48,29.1,233,32.9,10-26-26
Loamy,Maize,5.9,53,56,62,30.5,134,19.9,10-26-26
Sandy,Barley,7.9,101,34,36,13.2,169,24.8,10-26-26
Peaty,Maize,7.7,54,37,66,13.7,137,21.9,10-26-26
Silty,Soybean,7.4,111,59,69,28.0,244,28.9,Vermicompost
Clay,Sugarcane,7.3,74,21,41,23.6,149,22.3,10-26-26
Chalky,Soybean,5.9,79,41,52,14.5,81,33.4,DAP
Sandy,Sugarcane,6.8,91,24,39,20.0,242,25.9,10-26-26
Clay,Rice,8.3,107,33,54,13.8,187,28.0,NPK
Silty,Maize,6.5,60,43,49,25.3,163,18.3,DAP
Peaty,Sugarcane,8.0,50,23,39,33.3,120,27.6,10-26-26
Peaty,Rice,7.3,50,37,58,33.1,249,30.0,10-26-26
Silty,Cotton,5.1,117,48,56,24.4,149,28.3,Compost
Sandy,Soybean,6.2,105,27,52,28.4,190,33.9,10-26-26
Clay,Maize,8.2,115,51,63,21.3,250,19.9,DAP
Loamy,Rice,8.4,68,45,68,31.0,94,20.1,Urea
Sandy,Maize,8.2,67,28,78,31.7,145,26.8,10-26-26
Loamy,Maize,6.9,55,20,61,20.0,190,18.9,10-26-26
Sandy,Wheat,5.8,88,54,75,30.1,138,18.1,Urea
Peaty,Sugarcane,5.8,85,24,55,20.0,90,27.1,10-26-26
Silty,Rice,8.2,98,24,50,18.7,227,23.9,10-26-26
Silty,Sugarcane,7.5,91,60,56,21.3,154,21.8,NPK
Clay,Cotton,6.3,42,40,40,13.5,238,21.0,10-26-26
Silty,Soybean,6.5,86,25,57,20.5,107,33.6,10-26-26
Sandy,Cotton,5.9,115,45,63,24.5,100,28.7,DAP
Silty,Soybean,4.6,79,41,44,26.6,165,21.0,Compost
Sandy,Rice,8.3,105,60,37,13.7,215,25.0,10-26-26
Peaty,Wheat,4.8,84,42,76,34.9,245,26.5,Compost
Sandy,Wheat,6.9,53,29,46,11.7,130,30.7,10-26-26
Sandy,Sugarcane,5.3,59,24,41,32.5,240,21.5,10-26-26
Silty,Cotton,5.3,112,57,58,10.9,224,26.0,Compost
Chalky,Barley,6.8,119,40,70,11.6,160,31.2,Urea
Sandy,Cotton,6.3,48,50,58,23.1,241,25.5,10-26-26
Loamy,Soybean,6.1,75,57,33,24.0,170,20.6,10-26-26
Peaty,Rice,5.2,79,49,58,31.5,89,34.1,Compost
Clay,Maize,6.0,76,24,71,16.8,103,28.9,10-26-26
Peaty,Sugarcane,6.1,104,44,59,10.6,228,20.7,NPK
Peaty,Soybean,7.4,45,48,66,26.5,246,18.5,10-26-26
Sandy,Maize,5.4,117,50,62,15.8,118,29.4,Compost
Clay,Cotton,4.6,53,41,75,12.6,101,31.6,10-26-26
Peaty,Barley,5.2,62,22,45,26.3,192,22.0,10-26-26
Silty,Sugarcane,4.9,106,59,40,16.1,173,30.3,Compost
Loamy,Maize,7.9,89,46,79,30.8,166,24.8,DAP
Chalky,Sugarcane,7.2,46,60,71,15.1,165,23.0,10-26-26
Clay,Maize,8.1,52,55,73,10.3,178,19.5,10-26-26
Loamy,Maize,5.3,117,29,51,10.7,100,21.1,10-26-26
Peaty,Barley,6.8,58,42,49,20.5,247,33.2,10-26-26
Chalky,Barley,7.8,90,28,68,18.5,101,22.4,10-26-26
Loamy,Sugarcane,6.0,88,41,38,24.8,214,22.6,10-26-26
Clay,Barley,7.0,94,52,53,20.2,84,27.4,Urea
Loamy,Maize,6.2,63,33,51,17.4,204,34.1,DAP
Sandy,Wheat,7.6,59,24,48,13.5,105,32.8,10-26-26
Peaty,Soybean,6.4,109,53,32,32.4,249,31.6,10-26-26
Loamy,Soybean,6.2,119,28,68,10.6,176,22.6,10-26-26
Sandy,Wheat,6.7,63,59,40,25.8,192,22.4,Urea
Silty,Maize,5.1,70,48,69,30.9,152,34.7,Compost
Chalky,Soybean,6.6,97,34,64,14.3,141,22.6,10-26-26
Silty,Soybean,4.6,64,43,73,32.9,226,20.0,Compost
Silty,Cotton,6.8,76,44,62,16.9,215,27.4,DAP
Silty,Wheat,7.1,65,58,38,30.7,144,21.5,10-26-26
Clay,Barley,4.5,101,43,65,13.4,106,33.3,Compost
Chalky,Soybean,8.0,106,27,48,24.9,101,28.2,10-26-26
Sandy,Maize,7.2,97,52,39,14.4,191,33.5,10-26-26
Clay,Wheat,6.2,97,42,31,19.6,186,26.8,10-26-26
Clay,Cotton,4.7,104,43,45,14.2,178,30.5,Compost
Clay,Maize,4.8,68,21,50,25.1,105,22.2,10-26-26
Chalky,Barley,6.1,82,29,38,17.2,89,24.0,10-26-26
Loamy,Soybean,7.4,100,28,78,17.4,200,27.6,10-26-26
Silty,Sugarcane,6.4,40,25,31,26.6,145,33.9,10-26-26
Sandy,Soybean,7.4,59,55,76,15.4,235,18.5,10-26-26
Peaty,Cotton,5.5,54,38,45,24.9,157,18.9,10-26-26
Clay,Rice,6.5,70,46,70,24.9,239,23.7,Compost
Clay,Rice,7.6,103,58,64,12.7,84,19.3,NPK
Chalky,Sugarcane,7.4,113,35,75,22.4,116,29.7,NPK
Loamy,Cotton,6.2,40,59,52,16.2,141,31.9,10-26-26
Peaty,Cotton,7.7,63,25,63,27.4,172,22.6,10-26-26
Clay,Sugarcane,6.9,109,52,80,19.0,209,19.6,NPK
Peaty,Rice,8.2,89,50,32,13.4,242,34.2,10-26-26
Silty,Maize,6.3,72,21,52,14.6,97,27.2,10-26-26
Loamy,Wheat,8.0,120,26,79,28.3,228,31.7,10-26-26
Chalky,Soybean,7.1,82,28,32,27.3,170,32.4,10-26-26
Peaty,Maize,5.5,62,49,74,22.2,202,21.8,DAP
Chalky,Wheat,8.5,57,24,75,33.6,197,18.7,10-26-26
Clay,Maize,7.3,65,22,80,33.1,131,21.1,10-26-26
Clay,Maize,6.8,79,52,55,32.9,219,18.6,DAP
Silty,Maize,7.3,44,32,48,17.4,171,33.7,10-26-26
Clay,Soybean,8.4,82,37,37,33.6,174,26.1,10-26-26
Silty,Cotton,7.9,96,44,51,31.1,127,23.4,DAP
Silty,Barley,7.8,103,43,63,10.9,148,28.1,Urea
Clay,Barley,5.4,94,25,57,13.0,234,19.3,10-26-26
Sandy,Sugarcane,7.3,77,40,36,18.5,100,30.3,10-26-26
Loamy,Barley,4.8,77,39,58,17.9,234,27.2,Compost
Chalky,Cotton,7.7,61,48,52,18.0,194,28.6,DAP
Clay,Barley,8.0,85,59,57,25.4,150,22.0,Urea
Chalky,Soybean,4.6,47,24,72,31.8,243,18.4,10-26-26
Silty,Maize,8.0,105,30,31,23.2,116,34.0,10-26-26
Peaty,Barley,7.7,96,22,38,34.9,97,24.0,10-26-26
Sandy,Soybean,7.6,86,43,54,20.0,225,26.2,Urea
Peaty,Wheat,7.0,97,43,53,31.8,193,34.7,Urea
Clay,Sugarcane,7.6,57,53,53,20.4,181,25.2,10-26-26
Loamy,Barley,7.5,75,35,37,16.0,86,19.9,10-26-26
Chalky,Wheat,5.9,103,53,54,17.2,223,23.0,Urea
Clay,Maize,5.4,73,48,43,11.1,236,18.3,Compost
Loamy,Barley,8.5,102,32,37,20.7,114,24.5,10-26-26
Clay,Cotton,7.2,62,48,35,15.5,161,34.1,10-26-26
Chalky,Maize,7.6,48,55,64,12.2,154,25.1,10-26-26
Loamy,Soybean,8.0,60,60,41,33.6,172,25.9,Vermicompost
Sandy,Rice,7.0,65,28,45,14.2,206,34.8,10-26-26
Clay,Maize,5.4,110,56,53,33.6,199,29.0,Compost
Peaty,Wheat,6.9,118,25,34,22.8,159,21.9,10-26-26
Silty,Barley,5.2,101,53,56,15.5,184,21.2,Compost
Peaty,Rice,7.6,56,40,71,18.8,98,19.0,10-26-26
Silty,Cotton,8.4,106,42,38,32.1,221,33.8,10-26-26
Chalky,Sugarcane,8.5,63,28,57,14.3,208,24.7,10-26-26
Clay,Soybean,7.5,55,53,39,27.4,157,20.6,10-26-26
Sandy,Wheat,7.8,81,34,52,15.6,212,21.8,Urea
Loamy,Soybean,6.6,50,36,42,24.8,242,27.9,10-26-26
Peaty,Maize,4.9,56,60,49,31.9,237,22.5,10-26-26
Peaty,Rice,5.0,104,30,67,32.2,228,34.2,Compost
Sandy,Wheat,7.9,119,58,51,30.2,224,29.1,Urea
Clay,Soybean,6.7,43,25,32,12.2,244,24.9,10-26-26
Peaty,Maize,6.0,66,56,56,16.5,238,30.3,DAP
Chalky,Rice,6.5,103,60,64,12.0,154,21.7,NPK
Chalky,Maize,7.2,101,35,73,11.9,183,32.5,10-26-26
Silty,Rice,6.5,47,30,58,22.0,186,28.1,10-26-26
Silty,Cotton,7.8,66,41,68,18.7,116,29.5,DAP
Loamy,Soybean,6.8,80,42,55,16.7,113,32.9,10-26-26
Peaty,Sugarcane,7.7,53,40,45,26.5,199,32.5,10-26-26
Clay,Maize,8.0,97,35,39,27.7,104,32.2,10-26-26
Clay,Maize,7.3,89,59,56,27.0,143,28.5,DAP
Sandy,Soybean,7.5,81,56,76,14.0,160,33.0,DAP
Sandy,Cotton,8.0,105,49,61,10.7,158,32.0,DAP
Silty,Rice,5.0,51,45,62,18.4,197,30.6,10-26-26
Sandy,Wheat,5.1,114,42,33,30.4,92,32.1,10-26-26
Loamy,Cotton,6.5,116,50,48,10.2,217,22.9,DAP
Clay,Soybean,7.0,53,47,38,34.5,147,28.7,10-26-26
Chalky,Maize,5.5,91,43,32,25.9,182,27.2,10-26-26
Clay,Sugarcane,7.6,111,32,53,12.7,221,30.9,NPK
Loamy,Rice,6.7,89,52,58,34.1,220,23.8,NPK
Loamy,Soybean,7.0,119,59,37,33.3,112,19.7,10-26-26
Clay,Cotton,8.2,87,41,65,27.2,173,19.2,DAP
Sandy,Wheat,5.7,117,52,55,27.7,208,19.1,Urea
Clay,Rice,6.8,44,28,75,18.6,165,28.6,10-26-26
Silty,Sugarcane,4.7,98,29,68,31.8,211,34.5,10-26-26
Sandy,Maize,8.4,118,40,40,28.7,180,20.2,Vermicompost
